Habitat	motility	spore production	Genus name	species name	strain name
__freshwater (river, lake, pond)__	__motile, but unspecified structure__	not indicated	Halorubrum	luteum	CGSA15
soil	non-motile	yes	Catellatospora	bangladeshensis	2-70(23)
other	not indicated	no	Burkholderia	contaminans	J2956T
soil	not indicated	no	Burkholderia	lata	383T
built environment	flagella	yes	Bacillus	cellulosilyticus	N-4T
built environment	flagella	yes	Bacillus	akibai	 1139T 
other	flagella		Borrelia	turcica	IST7T 
soil	non-motile	yes	Asanoa	iriomotensis	TT97-02T
other	non-motile	no	Castellaniella	caeni	Ho-11
wastewater	non-motile	no	Flavobacterium	granuli	Kw05T
other	not indicated	no	Streptococcus	 orisuis	NUM 1001T 
other	non-motile	yes	Halobacillus	profundi	IS-Hb4T 
marine sediment	flagella	not indicated	Ferrimonas	marina	A4D-4T
other	flagella	no	Shewanella	hafniensis	P010
soil	__motile, but unspecified structure__	no	Sphingopyxis 	ginsengisoli	Gsoil 250
soil	non-motile	no	Dokdonella	ginsengisoli	Gsoil 191T
seawater	non-motile	no	Marihabitans	asiaticum	HG667
other	non-motile	no	Iamia	majanohamensis	F12T 
other	non-motile	no	Lactobacillus	odoratitofui	YIT 11304
human - fecal	non-motile	no	Dialister	succinatiphilus	YIT 11850
other	non-motile	no	Halarchaeum	acidiphilum	MH1-52-1
marine sediment	non-motile	not indicated	Paraoerskovia	marina	CTT-37
other	non-motile	no	Collinsella	tanakaei	YIT 12063
seawater	non-motile	not indicated	Marinicella	litoralis	KMM 3900
other	non-motile	yes	Thermosporothrix	hazakensis	SK20-1
__freshwater (river, lake, pond)__	__motile, but unspecified structure__	not indicated	Sulfuricella 	denitrificans	skB26
other	non-motile	yes	Pseudonocardia	babensis	VN05A0561
hotspring	non-motile	no	Meiothermus	hypogaeus	AZM34c11
plant associated	__motile, but unspecified structure__	no	Methylobacterium	oxalidis	35a
wastewater	non-motile	no	Defluvicoccus	 vanus	Ben 114T
other	flagella	no	Halomonas	neptunia	Eplume1T
soil	__motile, but unspecified structure__	not indicated	Halopiger	aswanensis	56
other	non-motile	no	Epilithonimonas	tenax	EP105
other	not indicated	no	Alkanibacter	difficilis	MN154.3
other	flagella	no	Chromohalobacter	salarius	 CG4.1T
soil	flagella	not indicated	Marichromatium	indicum	JA100T
other	non-motile	no	Corynebacterium	ciconiae	CECT5779T
food product	non-motile	no	Enterococcus	italicus	DSM15952T
other	non-motile	not indicated	Flavobacterium	psychrolimnae	LMG22018T
food product	non-motile	no	Lactobacillus	acidifarinae 	LMG22200T
soil	__motile, but unspecified structure__	yes	Aneurinibacillus	terranovensis	Logan B-1599T
soil	not indicated	yes	Paenibacillus	barcinonensis	 BP-23T
other	non-motile	not indicated	Flavobacterium	fryxellicola	LMG22022T
bioreactor	non-motile	no	Microbacterium	xylanilyticum	S3-ET
other	not indicated	yes	Dietzia	cinnamea	IMMIB RIV-399
other	non-motile	yes	Cohnella	thermotolerans	CCUG 47242
other	non-motile	no	Halovivax	asiasticus	EJ-46
marine sediment	flagella	no	Spongiispira	norvegica	Gp_4_7.1
soil	flagella	no	Aspromonas	composti	TR7-09 T
other	non-motile	no	Agrococcus	jejuensis	SSW1-48
other	non-motile	no	Pediococcus	argentinicus	LMG 23999
seawater	non-motile	no	Eudoraea	adriatica	AS06/20a
soil	flagella	yes	Bacillus	cecembensis	PN5
seawater	flagella	not indicated	Nautella	italica	LMG 24365T
other	non-motile	no	Lactobacillus	gastricus	 Kx156A7T
soil	not indicated	yes	Kitasatospora	sampliensis	VT-36
other	flagella	yes	Mahella	australiensis	50-1  BONT
other	non-motile	not indicated	Pseudonocardia	dioxanivorans	CB1190T
hypersaline environment	flagella	yes	Halobacillus	aidingensis	AD-6T 
marine sediment	non-motile	no	Marinilactibacillus	piezotolerans	LT20T
seawater	flagella	no	Marinobacter	flavimaris	SW-145T
soil	flagella	no	Idiomarina	fontislapidosi	F23T
other	non-motile	no	Pilibacter	termitis	TI-1
food product	flagella	yes	Bacillus	cibi	JG-30T
seawater	__motile, but unspecified structure__	no	Melitea	salexigens	5IX/A01/131
soil	non-motile	no	Flavobacterium 	antarcticum 	AT1026T
other	flagella	no	Stappia	marina	mano18
other	non-motile	not indicated	Bacillus	salarius	BH169
hotspring	__motile, but unspecified structure__	yes	Carboxydocella	sporoproducens	Kar
other		no	Hahella	ganghwensis	FR1050T
other	__motile, but unspecified structure__	yes	Sporacetigenium	mesophilum	ZLJ115
seawater	gliding	no	Marinicola	seohaensis	SW-152T
other	non-motile	no	Streptococcus	massiliensis	4401825
soil	flagella	yes	Bacillus	alkalitelluris	BA288
other	__motile, but unspecified structure__	no	Exiguobacterium	soli	DVS 3Y
seawater	non-motile	yes	Williamsia	marianensis	MT8
soil	non-motile	no	Deinococcus	ficus	CC-FR2-10
other	not indicated	yes	Amycolatopsis	halotolerans	N4-6
seawater	non-motile	no	Donghaeana	dokdonensis	DSW-6
other	not indicated	no	Deinococcus	aquaticus	PB314
other	non-motile	no	Halococcus	hamlinensis	100A6
soil	non-motile	no	Kocuria	aegyptia	YIM 70003
other	gliding	no	Stenothermobacter 	spongiae	 UST030701-156
other	non-motile	no	Amorphus	coralli	RS.Sph.026
seawater	__motile, but unspecified structure__	no	Halorubrum	ezzemoulense	5.1
soil	non-motile	no	Algoriphagus	terrigena	DS-44
other	non-motile	no	Croceitalea	eckloniae	DOKDO 025
soil	non-motile	no	Georgenia	ruanii	YIM 004T 
other	non-motile	yes	Nocardia	ninae	OFN 02.72T
hotspring	flagella	no	Tepidicella	xavieri	TU-16
__freshwater (river, lake, pond)__	flagella	not indicated	Rheinheimera	chironomi	K19414T
__freshwater (river, lake, pond)__	non-motile	not indicated	Methylocystis	hirsuta	CSC1T
seawater	flagella	not indicated	Pelagibius	litoralis	CL-UU02T
seawater	non-motile	no	Nocardioides	marinus	CL-DD14T 
__freshwater (river, lake, pond)__	__motile, but unspecified structure__	yes	Paenibacillus	 fonticola	ZLT
other	non-motile	no	Parapedobacter	koreensis	Jip14T
other	non-motile	no	Proteiniclasticum	ruminis	D3RC-2
soil	flagella		Devosia	insulae	DS-56T
wastewater	non-motile	no	Chryseobacterium	daeguense	 K105T 
other	flagella	no	Caenispirillum	bisanense	K92T 
soil	non-motile	yes	Pseudonocardia	carboxydivorans	Y8
wastewater	flagella	no	Rhizobium	borbori	DN316T
seawater	non-motile	no	Pelagicola	litoralis	CL-ES2
hotspring	not indicated	yes	Caldanaerobacter	uzonensis	K67
seawater	non-motile	not indicated	Algoriphagus	jejuensis	CNU040
other	flagella	no	Devosia	crocina	IPL20T
other	non-motile		Chelativorans	Chelativorans multitrophicus	DSM 9103
soil	__motile, but unspecified structure__	no	Nocardioides	mesophilus	MSL-22
soil	non-motile	not indicated	Microbacterium	kribbense	MSL-04
soil	__motile, but unspecified structure__	no	Frigoribacterium	mesophilum	MSL-08
soil	non-motile	no	Phycicoccus	bigeumensis	MSL-03
other	not indicated	no	Phycicoccus	aerophilus	5516T-20
other	__motile, but unspecified structure__	no	Halomonas	salifodinae	BC7
other	flagella	no	Sphingomonas 	Sphingomonas histidinilytica	UM2
hotspring	non-motile	not indicated	Fervidicoccus	fontis	Kam940
hotspring	flagella	yes	Ammonifex	thiophilus	SR
soil	flagella	yes	Sporolactobacillus	vineae	SL153
soil	non-motile	not indicated	Chryseobacterium	soli	JS6-6
other	flagella	not indicated	Lentibacillus	salinarum	AHS-1
other	not indicated	no	Microbacterium	profundi	Shh49
other	non-motile	no	Nesterenkonia	flava	CAAS 251
other	non-motile	no	Lactococcus	chungangensis	CAU 28
other	non-motile	not indicated	Rhodocytophaga 	aerolata	5416T-29
other	non-motile	yes	Devriesea	agamarum	IMP2
other	flagella	yes	Saccharibacillus	sacchari	GR21
other	non-motile		Thalassospira	Thalassospira xianhensis	P-4
other	flagella	no	Phenylobacterium	composti	4T-6
soil	non-motile	no	Deinococcus	wulumuqiensis	R12
wastewater	non-motile	no	Sphingobium 	qiguonii	X23
soil	flagella	no	Pseudomonas	taiwanensis	CMS
other	flagella	not indicated	Brevundimonas	basaltis	J22
other	flagella	no	Vibrio	areninigrae	J74
other	__motile, but unspecified structure__	no	Shewanella	basaltis	J83
seawater	non-motile	no	Tamlana	agarivorans	JW-26
hotspring	non-motile	no	Meiothermus 	Meiothermus cateniformans	LY1
other	non-motile	not indicated	Dyadobacter	alkalitolerans	12116T
seawater	non-motile	no	Pseudidiomarina	tainanensis	PIN1T
other	flagella	not indicated	Thermodesulfatator	atlanticus	AT1325
seawater	gliding	no	Muriicola	jejuensis	EM44
other	non-motile	not indicated	Terrabacter	aeriphilus	5414T-18
seawater	flagella	not indicated	Oceanicola	nitratireducens	JLT1210
soil	non-motile	not indicated	Deinococcus	xinjiangensis	X-82T
