pathway_rename	highest	group	LDA_score	p.value	pathway
pathway_10	3.556768867953093	0	-2.8334006872665536	0.013020272270994478	ARGININE-SYN4-PWY: L-ornithine biosynthesis II
pathway_29	3.461801875570253	1	2.7785953894936335	0.039974066959131686	DAPLYSINESYN-PWY: L-lysine biosynthesis I
pathway_37	3.977169570204249	0	-2.7930694010011754	0.04629399476370247	FASYN-INITIAL-PWY: superpathway of fatty acid biosynthesis initiation (E. coli)
pathway_38	3.2435683657230374	1	2.6127624217856735	0.04629399476370247	FERMENTATION-PWY: mixed acid fermentation
pathway_48	3.648069012866196	1	2.6639390282204967	0.007649612652100949	GLUCONEO-PWY: gluconeogenesis I
pathway_49	2.841029277888977	1	2.307242597598044	0.03187396097677692	GLUCOSE1PMETAB-PWY: glucose and glucose-1-phosphate degradation
pathway_50	3.3083599002287456	0	-2.338542731434438	0.03187396097677692	GLUCUROCAT-PWY: superpathway of &beta;-D-glucuronosides degradation
pathway_85	3.8596312582455186	0	-2.6459643612047192	0.01679141577558881	NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I
pathway_104	3.3731222765076883	1	2.7266519642229707	0.04303606354311612	P4-PWY: superpathway of L-lysine, L-threonine and L-methionine biosynthesis I
pathway_106	3.2687887894213588	1	2.512336587729382	0.010942545726567419	P441-PWY: superpathway of N-acetylneuraminate degradation
pathway_118	3.1158635814702813	0	-2.2545929173044312	0.021489469071948424	POLYISOPRENSYN-PWY: polyisoprenoid biosynthesis (E. coli)
pathway_132	3.3101862674814164	1	2.6819299959680896	0.04629399476370247	PWY-241: C4 photosynthetic carbon assimilation cycle, NADP-ME type
pathway_163	3.233880109167291	0	-2.4252261902747376	0.019809878085184515	PWY-5104: L-isoleucine biosynthesis IV
pathway_178	2.916462102297801	0	-2.290375374331367	0.049757142204001716	PWY-5304: superpathway of sulfur oxidation (Acidianus ambivalens)
pathway_182	2.492600057983988	1	2.073653683063973	0.034188392289385874	PWY-5367: petroselinate biosynthesis
pathway_183	3.164470836471546	1	2.5945709254578073	0.02729299405836499	PWY-5384: sucrose degradation IV (sucrose phosphorylase)
pathway_190	2.635989769101155	1	2.085625993889316	0.027283860699205468	PWY-5464: superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle
pathway_203	2.3431348671173207	1	2.002279395421072	0.048622414933778633	PWY-5675: nitrate reduction V (assimilatory)
pathway_235	3.287271370303854	1	2.686483566068686	0.049757142204001716	PWY-5913: partial TCA cycle (obligate autotrophs)
pathway_239	3.2634197168551293	1	2.580271620456438	0.03167119451423197	PWY-5971: palmitate biosynthesis (type II fatty acid synthase)
pathway_259	3.840418202853867	0	-2.6799449317058586	0.018246064684815926	PWY-6168: flavin biosynthesis III (fungi)
pathway_265	2.9499910853302884	1	2.518964180091817	0.04278912069748466	PWY-622: starch biosynthesis
pathway_271	2.787567534479038	1	2.258078499089999	0.02505094757401126	PWY-6284: superpathway of unsaturated fatty acids biosynthesis (E. coli)
pathway_272	2.808596664475401	1	2.3996343756295704	0.04910729432698658	PWY-6285: superpathway of fatty acids biosynthesis (E. coli)
pathway_316	4.153273144034384	0	-2.8170731635095136	0.02522375573359604	PWY-6737: starch degradation V
pathway_318	2.295764850241006	0	-2.012017264735342	0.03057970710843542	PWY-6749: CMP-legionaminate biosynthesis I
pathway_339	2.7902819312486176	1	2.2031960442623517	0.029507090634769206	PWY-7003: glycerol degradation to butanol
pathway_347	3.3294034306389184	1	2.7039335969904794	0.04629399476370247	PWY-7117: C4 photosynthetic carbon assimilation cycle, PEPCK type
pathway_356	3.169156080901153	1	2.3883997576778397	0.039974066959131686	PWY-7198: pyrimidine deoxyribonucleotides de novo biosynthesis IV
pathway_358	1.4164051342221282	1	2.113987916184186	0.006769004414492513	PWY-7200: superpathway of pyrimidine deoxyribonucleoside salvage
pathway_361	2.671230877655474	1	2.1996024183748695	0.010923652111301595	PWY-7209: superpathway of pyrimidine ribonucleosides degradation
pathway_371	3.454120345824202	1	2.813090334539247	0.010018641854584448	PWY-7234: inosine-5_-phosphate biosynthesis III
pathway_375	3.2634524721349294	0	-2.3761568779561055	0.039974066959131686	PWY-7242: D-fructuronate degradation
pathway_449	3.3601544874971245	1	2.7493132603583867	0.011941400545381885	PWY0-781: aspartate superpathway
pathway_462	2.7537138040115976	1	2.125979277034593	0.049757142204001716	PWY4LZ-257: superpathway of fermentation (Chlamydomonas reinhardtii)
pathway_469	3.2813429975631574	1	2.3997362441870154	0.02729299405836499	PWY66-399: gluconeogenesis III
pathway_477	3.934537194708097	0	-2.8019211160298907	0.02329171478424428	RIBOSYN2-PWY: flavin biosynthesis I (bacteria and plants)
pathway_489	3.725238049668893	0	-2.677136641675604	0.004356854885510459	THISYNARA-PWY: superpathway of thiamine diphosphate biosynthesis III (eukaryotes)
pathway_494	3.8254797517592474	0	-2.561495690445951	0.03187396097677692	TRPSYN-PWY: L-tryptophan biosynthesis
pathway_498	3.7361950027125705	1	2.79343731998011	0.04629399476370247	UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I
